price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
22400000.000000004,629.0,19.0327996,72.89635679999999,2.0,2.0,0.0,Under Construction,New Property,0.0,,0.0,Flat
35000000.0,974.0,19.0327996,72.89635679999999,3.0,2.0,0.0,Under Construction,New Property,0.0,,0.0,Flat
31700000.0,968.0,19.0856,72.909277,3.0,3.0,0.0,Under Construction,New Property,0.0,,0.0,Flat
18700000.0,629.0,19.155756,72.846862,2.0,2.0,2.0,Ready to Move,New Property,2.0,,2.0,Flat
13500000.0,1090.0,19.177554999999998,72.849887,2.0,2.0,0.0,,New Property,0.0,Unfurnished,0.0,Flat
13000000.0,630.0,19.148058,72.937725,2.0,2.0,0.0,,New Property,0.0,Unfurnished,0.0,Flat
20700000.0,1188.0,19.1549192106419,72.84356576222049,2.0,2.0,2.0,,New Property,2.0,Semi-Furnished,2.0,Flat
22900000.0,968.0,19.147269,72.848351,3.0,3.0,0.0,,New Property,0.0,Unfurnished,0.0,Flat
17000000.0,820.0,19.0151285,72.8580644,2.0,2.0,0.0,,New Property,0.0,Unfurnished,0.0,Flat
81000000.0,3260.0,19.001640226154105,72.826532,3.0,3.0,3.0,Ready to Move,Resale,3.0,,3.0,Flat
46000000.0,2500.0,19.157602,72.945243,4.0,4.0,2.0,,New Property,2.0,Unfurnished,2.0,Flat
34000000.0,1085.0,19.1595755,72.9465747,3.0,3.0,1.0,,New Property,1.0,Unfurnished,1.0,Flat
65000000.0,1500.0,19.116129,72.82195899999999,2.0,2.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
20300000.0,891.0,18.924921100000002,72.82972240000001,3.0,3.0,1.0,,New Property,1.0,Unfurnished,1.0,Flat
25000000.0,800.0,19.07907,72.907976,2.0,2.0,1.0,Ready to Move,Resale,1.0,,1.0,Flat
21000000.0,1020.0,19.133092,72.93475,3.0,3.0,0.0,,New Property,0.0,Unfurnished,0.0,Flat
102000000.0,3180.0,19.057489999999998,72.850961,4.0,4.0,1.0,Ready to Move,New Property,1.0,Unfurnished,1.0,Flat
22500000.0,1000.0,19.233531951904297,72.83919525146484,3.0,3.0,1.0,Ready to Move,Resale,1.0,Semi-Furnished,1.0,Flat
19000000.0,1058.0,19.176718,72.944581,2.0,2.0,0.0,Ready to Move,New Property,0.0,,0.0,Flat
15500000.0,875.0,19.1746739,72.94310379999999,2.0,2.0,1.0,Ready to Move,Resale,1.0,Furnished,1.0,Flat
25000000.0,1500.0,19.1040673,72.91767840000001,3.0,3.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
22500000.0,1600.0,19.1746739,72.94310379999999,3.0,3.0,1.0,,New Property,1.0,Semi-Furnished,1.0,Flat
55000000.0,2430.0,19.154783899999998,72.8540607,4.0,4.0,4.0,Ready to Move,Resale,4.0,Semi-Furnished,4.0,Flat
15000000.0,688.0,19.170591,72.937278,2.0,2.0,2.0,,New Property,2.0,Unfurnished,2.0,Flat
23900000.0,950.0,19.13735580444336,72.83695220947266,2.0,2.0,0.0,Ready to Move,Resale,0.0,Furnished,0.0,Flat
25000000.0,900.0,19.128420000000002,72.81988,2.0,2.0,1.0,Ready to Move,Resale,1.0,Furnished,1.0,Flat
69000000.0,2135.0,19.004138,72.82701329999999,4.0,5.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
9750000.0,1412.0,19.29123434,72.87967664,3.0,3.0,5.0,Ready to Move,New Property,5.0,,5.0,Flat
25500000.0,1450.0,19.216866,72.86649054,3.0,3.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
39800000.0,1765.0,19.0038320445835,72.8505157603601,3.0,2.0,1.0,Ready to Move,Resale,1.0,Semi-Furnished,1.0,Flat
47500000.0,1818.0,18.987163329770397,72.82989199332809,3.0,3.0,2.0,Ready to Move,Resale,2.0,,2.0,Flat
34000000.0,1355.0,19.11366241,72.84480702,3.0,3.0,1.0,Ready to Move,Resale,1.0,,1.0,Flat
46300000.0,1415.0,19.1714,72.940339,3.0,3.0,1.0,,New Property,1.0,Semi-Furnished,1.0,Flat
8600000.0,1045.0,19.293286,72.869699,2.0,2.0,4.0,Ready to Move,New Property,4.0,,4.0,Flat
20000000.0,965.0,19.028609,72.8794,2.0,2.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
33500000.0,2560.0,19.157602,72.945243,3.0,3.0,1.0,Ready to Move,New Property,1.0,Unfurnished,1.0,Flat
62500000.0,1500.0,18.99706,72.818401,3.0,3.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
47000000.0,2195.0,19.16989,72.863761,3.0,4.0,0.0,Ready to Move,Resale,0.0,,0.0,Flat
